CODE;ENGLISH;;;;;;;;;;;;;
acquired_bomb_sanctions;국제연합의 불법 핵무기 입수 제재;;;;;;;;;;;;;
acquiring_bomb;무기 암시장에서 핵무기 구입;;;;;;;;;;;;;
acquired_bomb;암시장표 핵무기 보유국;;;;;;;;;;;;;
nuclear_blackmarket_title;무기 암시장에서 핵무기 구입;;;;;;;;;;;;;
nuclear_blackmarket_desc;냉전의 혼란이 종식되면서 옛 초강대국이 만들었던 많은 핵탄두가 그 후신 국가들로 흩어졌습니다. 덕분에 5개의 폭탄을 아주 높은 가격에 공급하는 그림자 같은 무기 거래상들 사이에서 핵탄두를 구했습니다. 그러나 이러한 행동이 핵확산금지조약과 충돌할 수도 있습니다.;;;;;;;;;;;;;
nuclear_blackmarket_lose_title;암시장을 통해 얻은 핵탄두 스스로 무장해제;;;;;;;;;;;;;
nuclear_blackmarket_lose_desc;국제연합은 우리나라에 가해진 제재를 해제하려면 병든 핵무기들을 스스로 무장해제해야 한다고 요구합니다. 그들의 요구를 수용하여 핵무기를 무장해제한다면 국제사회는 우리를 훨씬 덜 위협적으로 여길 것입니다.;;;;;;;;;;;;;
nuclear_blackmarket_use_title;핵공격을 통한 위협;;;;;;;;;;;;;
nuclear_blackmarket_use_desc;많은 돈을 들여 구매한 핵무기를 적들에게 사용하는 것은 어떨까요? 지금 보유한 5개의 폭탄을 사용한다는 것은 우리에게 더이상 핵탄두가 없을 것임을 의미합니다.;;;;;;;;;;;;;
